model,d,MSE,MAE,R2,TRAIN MSE,TIME (sec)
Snap Star (shot warm-up),5,76.7 ± 0.28,5.97,0.358,68.05,2369
Classic Star (no warm-up),5,75.97 ± 0.2,6.02,0.365,70.88,2150
Snap Star (new warm-up),5,76.16 ± 0.15,5.96,0.363,69.39,2076
Snap Star (no warm-up),5,76.71 ± 0.25,6.02,0.358,70.29,2052
Snap Ensemble,5,76.48 ± 0.18,6.01,0.36,68.15,1766
Classic Star (new warm-up),5,75.62 ± 0.06,5.96,0.367,70.29,2176
Big NN,5,76.23 ± 0.19,5.95,0.362,71.7,1166
Ensemble,5,75.74 ± 0.06,5.99,0.366,68.99,1955
Snap Star (shot warm-up),4,76.74 ± 0.2,5.96,0.358,68.44,2026
Classic Star (no warm-up),4,76.02 ± 0.09,6.01,0.364,71.11,1811
Ensemble,4,75.78 ± 0.07,5.99,0.366,69.01,1636
Snap Ensemble,4,76.48 ± 0.19,6.01,0.36,68.41,1473
Snap Star (new warm-up),4,76.22 ± 0.18,5.97,0.362,69.74,1753
Classic Star (new warm-up),4,75.76 ± 0.17,5.96,0.366,70.41,1823
Snap Star (no warm-up),4,76.67 ± 0.12,6.02,0.359,70.78,1728
Big NN,4,76.29 ± 0.29,5.96,0.362,71.74,980
Snap Star (shot warm-up),3,76.77 ± 0.3,5.98,0.358,68.99,1688
Snap Ensemble,3,76.46 ± 0.19,6.02,0.36,68.76,1182
Classic Star (no warm-up),3,75.97 ± 0.07,6.0,0.365,71.37,1452
Ensemble,3,75.82 ± 0.07,6.0,0.366,69.0,1318
Snap Star (no warm-up),3,76.64 ± 0.2,6.03,0.359,71.5,1413
Big NN,3,76.31 ± 0.18,5.96,0.362,71.8,846
Snap Star (new warm-up),3,76.2 ± 0.15,5.96,0.363,70.21,1425
Classic Star (new warm-up),3,75.69 ± 0.1,5.97,0.367,70.64,1462
Snap Star (no warm-up),2,76.45 ± 0.14,6.02,0.361,72.46,1081
Ensemble,2,75.91 ± 0.05,6.0,0.365,69.01,993
Snap Star (shot warm-up),2,76.66 ± 0.22,5.98,0.359,69.75,1357
Snap Star (new warm-up),2,76.07 ± 0.08,5.97,0.364,70.89,1103
Classic Star (no warm-up),2,76.03 ± 0.12,6.0,0.364,71.94,1093
Big NN,2,76.2 ± 0.07,5.97,0.363,72.08,681
Classic Star (new warm-up),2,75.79 ± 0.15,5.98,0.366,71.14,1109
Snap Ensemble,2,76.47 ± 0.18,6.02,0.36,69.18,889
Snap Star (no warm-up),1,76.48 ± 0.16,6.0,0.36,74.3,752
Snap Ensemble,1,76.52 ± 0.19,6.02,0.36,69.72,594
Ensemble,1,76.03 ± 0.04,6.0,0.364,69.15,669
Snap Star (new warm-up),1,76.18 ± 0.14,5.99,0.363,71.74,776
Big NN,1,76.25 ± 0.3,5.97,0.362,72.35,523
Classic Star (new warm-up),1,76.09 ± 0.17,5.98,0.364,72.31,737
Snap Star (shot warm-up),1,76.65 ± 0.16,5.99,0.359,71.15,1022
Classic Star (no warm-up),1,76.16 ± 0.19,6.01,0.363,73.46,722
Big NN,0,76.51 ± 0.19,6.02,0.36,74.34,338
Snap Ensemble,0,76.87 ± 0.23,6.02,0.357,73.98,472
